Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Serbia,Europe,8682844,1501621,17105,13181,29,1289704,1879,198736,117,172941,1518,7776967,895670,Europe
Hungary,Europe,9622348,1385500,15526,40757,71,1186319,4604,158424,202,143988,4236,9612654,998993,Europe
Pakistan,Asia,227528886,1345801,6808,29042,5,1265665,426,51094,918,5915,128,24356373,107047,EasternMediterranean
Denmark,Europe,5823797,1226895,37987,3550,15,893031,23952,330314,49,210669,610,115173240,19776314,Europe
Ireland,Europe,5023186,1122428,0,6087,0,655301,0,461040,90,223449,1212,10685379,2127211,Europe
Jordan,Asia,10359978,1117397,0,13028,0,1067780,0,36589,597,107857,1258,14211088,1371730,EasternMediterranean
Kazakhstan,Asia,19124434,1100876,15872,13105,8,978588,2236,109183,528,57564,685,11575012,605247,Europe
Morocco,Africa,37587911,1068941,0,15025,0,990734,0,63182,293,28438,400,11237010,298953,EasternMediterranean
Georgia,Asia,3977304,1021943,6351,14582,27,946255,3043,61106,0,256944,3666,13762520,3460264,Europe
Cuba,North America,11315906,1008616,0,8348,0,982897,0,17371,42,89133,738,12314773,1088271,Americas
Slovakia,Europe,5463739,896798,6011,17520,61,839226,3208,40052,325,164136,3207,5314519,972689,Europe
Nepal,Asia,29947775,887769,10052,11632,4,818809,649,57328,100,29644,388,5075205,169469,South-EastAsia
Bulgaria,Europe,6867401,851945,0,32431,0,640213,0,179301,542,124056,4722,8071094,1175276,Europe
Croatia,Europe,4066042,848150,11343,13300,43,775657,8315,59193,195,208594,3271,4053231,996849,Europe
Lebanon,Asia,6778089,840514,0,9429,0,682977,0,148108,186,124005,1391,4795578,707512,EasternMediterranean
Tunisia,Africa,12010104,817051,12698,25881,14,711123,2559,80047,145,68030,2155,3755051,312658,EasternMediterranean
UAE,Asia,10075411,816945,3014,2204,4,764731,1067,50010,0,81083,219,119773383,11887692,EasternMediterranean
Bolivia,South America,11919514,785094,10867,20439,62,616081,5492,148574,220,65866,1715,2653186,222592,Americas
Belarus,Europe,9444508,721103,1618,5882,16,713965,1726,1256,0,76352,623,11414423,1208578,Europe
S. Korea,Asia,51337537,712503,6601,6480,28,589768,1237,116255,488,13879,126,15804065,307846,WesternPacific
Guatemala,North America,18428392,659655,0,16203,0,615330,0,28122,5,35796,879,3452399,187341,Americas
Saudi Arabia,Asia,35653051,638327,5591,8914,2,584050,5238,45363,540,17904,250,36147998,1013882,EasternMediterranean
